,Vernier,Cam,L,Lambda,Lp,Ld,Time
80,-0.0,0.7807815915002909,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6537217391861345,0.35903477668762207
81,-0.0,0.8180063902444477,1.6410509666240813,1.2996109450322775,1.614323533026528,1.661553946974666,0.35904598236083984
82,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35701441764831543
83,-0.0,0.45663821758573075,1.6410509666240813,1.2996109450322775,1.6077955564635527,1.6525452069723772,0.35804295539855957
84,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.3590724468231201
85,-0.0,0.6717269270748628,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.665883427918705,0.35804152488708496
86,-0.0,0.650291892560141,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6459496674444187,0.35804247856140137
87,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.358046293258667
88,-0.0,0.6717269270748628,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.665883427918705,0.3580515384674072
89,-0.0,0.8278999574277905,1.6410509666240813,1.2996109450322775,1.6198611573969377,1.6537217391861345,0.3570423126220703
90,-0.0,0.6876930391968838,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6537217391861345,0.35807347297668457
91,-0.0,0.7822891377036912,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6537217391861345,0.35704755783081055
92,-0.0,0.6156475373526383,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.673814385027647,0.360034704208374
93,-0.0,0.6988072204116255,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6459496674444187,0.35804271697998047
94,-0.0,0.6413413145391577,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6525452069723772,0.36003684997558594
95,-0.0,0.7358790965129898,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6537217391861345,0.3580141067504883
96,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3580756187438965
